You are now connected to database "nc_albums" as user "danika".

Cumulative sales by album':

 sales_period |            album_title             |      artist_name      | copies_sold | cumulative_sum_by_album 
--------------+------------------------------------+-----------------------+-------------+-------------------------
 2022_1Q      | CRU                                | Gnarwolves            |         321 |                     321
 2022_2Q      | CRU                                | Gnarwolves            |         456 |                     777
 2022_3Q      | CRU                                | Gnarwolves            |          20 |                     797
 2022_4Q      | CRU                                | Gnarwolves            |         400 |                    1197
 2023_1Q      | CRU                                | Gnarwolves            |         400 |                    1597
 2023_2Q      | CRU                                | Gnarwolves            |         116 |                    1713
 2023_3Q      | CRU                                | Gnarwolves            |         321 |                    2034
 2022_1Q      | Comfort To Me                      | Amyl and the Sniffers |         479 |                     479
 2022_2Q      | Comfort To Me                      | Amyl and the Sniffers |         288 |                     767
 2022_3Q      | Comfort To Me                      | Amyl and the Sniffers |         306 |                    1073
 2022_4Q      | Comfort To Me                      | Amyl and the Sniffers |         612 |                    1685
 2023_1Q      | Comfort To Me                      | Amyl and the Sniffers |         612 |                    2297
 2023_2Q      | Comfort To Me                      | Amyl and the Sniffers |         145 |                    2442
 2023_3Q      | Comfort To Me                      | Amyl and the Sniffers |         263 |                    2705
 2022_1Q      | Dude Ranch                         | Blink 182             |         815 |                     815
 2022_2Q      | Dude Ranch                         | Blink 182             |        1000 |                    1815
 2022_3Q      | Dude Ranch                         | Blink 182             |          29 |                    1844
 2022_4Q      | Dude Ranch                         | Blink 182             |         209 |                    2053
 2023_1Q      | Dude Ranch                         | Blink 182             |         209 |                    2262
 2023_2Q      | Dude Ranch                         | Blink 182             |         456 |                    2718
 2023_3Q      | Dude Ranch                         | Blink 182             |        1005 |                    3723
 2022_1Q      | Fidlar                             | Fidlar                |         903 |                     903
 2022_2Q      | Fidlar                             | Fidlar                |         418 |                    1321
 2022_3Q      | Fidlar                             | Fidlar                |        1254 |                    2575
 2022_4Q      | Fidlar                             | Fidlar                |         214 |                    2789
 2023_1Q      | Fidlar                             | Fidlar                |         214 |                    3003
 2023_2Q      | Fidlar                             | Fidlar                |         541 |                    3544
 2023_3Q      | Fidlar                             | Fidlar                |         283 |                    3827
